,id,examples,file_id,user_id,subforum_id,num_contexts,label,scores
0,13458115_2,It 's like that at most public boards .,13458115_2,572266,1347,0,noHate,0.087405205
1,13367480_1,I wonder if one of the victims opened the door to their apartment for some reason .,13367480_1,572710,1345,0,noHate,0.052831076
2,30422449_1,Some people believe the Jack O ' Lantern also represents the ancient Celtic warrior 's tradition of taking the heads of their enemies as trophies .,30422449_1,576917,1348,0,noHate,0.10891812
3,14651837_4,Ready .... GO !!!,14651837_4,572043,1371,0,noHate,0.15611246
4,30527903_3,Thanks !,30527903_3,573458,1359,0,noHate,0.010822343
5,12870229_4,com/watch ? v = KrdyCxpB4fs And then the entire Myron Fagan video @ youtube .,12870229_4,572066,1346,0,noHate,0.075370595
6,14053109_1,"This is a video of a band from the Upper Silesian village of Zebowice ( Zembowitz-Fohrendorf ) , it is the town with the highest percentage of Germans in Poland .",14053109_1,575982,1383,0,noHate,0.089330345
7,30399453_2,I can give you her Skype and she will answer all your questions .,30399453_2,574666,1362,0,noHate,0.06724154
8,13591250_2,"Sørensen , 19 år , er født 8. april 1982 i Kolding .",13591250_2,576390,1393,0,idk/skip,0.05806315
9,31713873_1,If i sent you some pic wound use be able to put them up cuz use dont have many also i have lots of links to give use,31713873_1,572043,1363,0,noHate,0.45514432
10,13617074_1,"Why, are you afraid that your son might come and find you drunk in a bar 20 years later and try to kill you or something ...",13617074_1,572043,1393,0,noHate,0.7621901
11,30586609_1,ALWAYS SPEAK OUT WHEN IN A CLASS WITH A BRAINWASHING TEACHER BECAUSE ONCE YOU SPEAK OTHERS WHO MAY FEEL THE SAME WAY MAY REALIZE THEY ARE NOT ALONE but if you say nothing then everybody will without question go along with the anti white brainwashing .,30586609_1,577193,1348,0,noHate,0.44097775
12,30386096_4,Here 's the link : http://apps.meadjohnson.com/forms/jsp/Efb/Efb.do ?,30386096_4,587337,1362,0,noHate,0.10290986
13,13511568_2,http://www.stltoday.com/stltoday/new ... A ? OpenDocument,13511568_2,577328,1345,0,noHate,0.18830563
14,14059932_2,They are doing the same to all the white nations .,14059932_2,577997,1383,0,relation,0.27102602
15,30526591_3,Y !,30526591_3,575351,1348,0,noHate,0.098456755
16,14104444_3,NeoFolk ?,14104444_3,599704,1381,0,noHate,0.17508537
17,14673212_2,They fit the same DNA as the DNA found in ancient mummies .,14673212_2,614293,1371,0,noHate,0.19830412
18,33222250_1,I would not be surprised if this woman was specifically targeted by local Jews from her town for this abominable treatment .,33222250_1,572710,1346,2,hate,0.46589994
19,13481672_2,If they were jew pieces of garbage who the hell cares what happened to them .,13481672_2,584956,1345,0,hate,0.78513134
20,13501878_2,Is it a good idea for them to release all these videos ?,13501878_2,572043,1395,0,noHate,0.05266393
21,14035837_2,The sooner we acknowledge eachother in local areas and band together as a unit the sooner we become a strong white nation again .,14035837_2,595786,1387,0,noHate,0.1954857
22,31728633_5,88 - Jim,31728633_5,599308,1363,0,noHate,0.038113892
23,12860405_2,This would make me crazy if I saw it in person .,12860405_2,572067,1346,0,noHate,0.17148596
24,12848466_6,"She says the class is out of control and the kids are unteachable , and the black administration does not support her .",12848466_6,575848,1346,0,noHate,0.37349012
25,13458990_4,http://www.newnation.tv/forums/showthread.php ? t = 207286,13458990_4,573278,1347,0,noHate,0.12130688
26,13449582_3,Just the yo crap .,13449582_3,572427,1347,0,noHate,0.9248622
27,13245714_1,Free Edgar Steele has announced the start of an official fundraising campaign with full support of Cyndi Steele : Fundraising Campaign | Free Edgar Steele,13245714_1,572472,1345,0,noHate,0.1061145
28,30561702_1,When I was in grammar school I would go to the library every few days and get a new Hardy Boys book .,30561702_1,576192,1362,0,noHate,0.052332375
29,30413458_1,"It's a powerful symbol that strikes fear into the heart of our racial enemies , theres a good video on YouTube done by Thule productions entitled the meaning of the swastika our holy aryan symbol .Here 's the link The meaning of the Swastika - Our Holy Aryan Symbol - YouTube",30413458_1,577193,1354,0,noHate,0.32161912
30,13864766_5,"Regards , Draiodoir .",13864766_5,591125,1391,2,noHate,0.11974271
31,30405478_2,You lost the fight already .,30405478_2,572287,1396,0,noHate,0.18506318
32,30559316_1,He is a hero of mine .,30559316_1,572893,1354,0,noHate,0.025263216
33,14296825_2,That 's why we need to keep in touch and stay organized .,14296825_2,572417,1380,0,noHate,0.082898825
34,14651426_2,Look what white liberals have done .,14651426_2,574041,1371,0,relation,0.504802
35,14104912_2,There are multitudes of great people here and a hearty welcome from my us all !,14104912_2,599756,1381,0,noHate,0.032822974
36,33045538_1,"Yes they did , the Jews claimed that Jesus got his power from the devil to heal people of their illnesses .",33045538_1,580141,1347,0,noHate,0.43728328
37,13379474_2,"Any Europeans traveling to this country must be insane , I hope any Whites traveling there stay safe and use good judgement at night .",13379474_2,575537,1345,1,noHate,0.6519473
